State,Governor
Tennessee,R
North Dakota,R
Florida,R
South Carolina,R
Arkansas,R
Mississippi,R
South Dakota,R
Rhode Island,D
Alabama,R
Louisiana,D
Utah,R
Alaska,R
Wyoming,R
Oklahoma,R
Kentucky,D
Arizona,R
Georgia,R
Idaho,R
Iowa,R
Indiana,R
Montana,R
Kansas,D
Texas,R
Wisconsin,D
Nebraska,R
Nevada,D
Delaware,D
Missouri,R
West Virginia,R
North Carolina,D
New Jersey,D
Illinois,D
Minnesota,D
New York,D
Ohio,R
New Mexico,D
California,D
Massachusetts,R
Colorado,D
Michigan,D
Pennsylvania,D
Connecticut,D
Virginia,D
New Hampshire,D
Maryland,R
Washington,D
Oregon,D
Maine,D
Hawaii,D
Vermont,R
