State,Legislature
Tennessee,R
North Dakota,R
Florida,R
South Carolina,R
Arkansas,R
Mississippi,R
South Dakota,R
Rhode Island,D
Alabama,R
Louisiana,R
Utah,R
Alaska,S
Wyoming,R
Oklahoma,R
Kentucky,R
Arizona,R
Georgia,R
Idaho,R
Iowa,R
Indiana,R
Montana,R
Kansas,R
Texas,R
Wisconsin,R
Nebraska,R
Nevada,D
Delaware,D
Missouri,R
West Virginia,R
North Carolina,R
New Jersey,D
Illinois,D
Minnesota,S
New York,D
Ohio,R
New Mexico,D
California,D
Massachusetts,D
Colorado,D
Michigan,R
Pennsylvania,R
Connecticut,D
Virginia,D
New Hampshire,R
Maryland,D
Washington,D
Oregon,D
Maine,D
Hawaii,D
Vermont,D
