State,President
North Dakota,R
Alaska,R
Tennessee,R
Wyoming,R
South Dakota,R
Utah,R
South Carolina,R
Rhode Island,D
Montana,R
Arkansas,R
Florida,R
Kentucky,R
Alabama,R
Mississippi,R
Idaho,R
Arizona,D
Oklahoma,R
Louisiana,R
Iowa,R
Wisconsin,D
West Virginia,R
Indiana,R
Kansas,R
Georgia,D
Nebraska,R
Minnesota,D
Delaware,D
Texas,R
Nevada,D
North Carolina,R
Missouri,R
New Mexico,D
Michigan,D
Ohio,R
Illinois,D
Colorado,D
New Jersey,D
New York,D
Pennsylvania,D
Massachusetts,D
California,D
Connecticut,D
Virginia,D
New Hampshire,D
Washington,D
Maryland,D
Oregon,D
Maine,D
Vermont,D
Hawaii,D
