State,Density
Tennessee,20
North Dakota,47
Florida,8
South Carolina,19
Arkansas,34
Mississippi,32
South Dakota,46
Rhode Island,2
Alabama,27
Louisiana,23
Utah,40
Alaska,50
Wyoming,49
Oklahoma,35
Kentucky,22
Arizona,33
Georgia,17
Idaho,44
Iowa,36
Indiana,16
Montana,48
Kansas,41
Texas,26
Wisconsin,25
Nebraska,43
Nevada,42
Delaware,6
Missouri,28
West Virginia,29
North Carolina,15
New Jersey,1
Illinois,12
Minnesota,30
New York,7
Ohio,10
New Mexico,45
California,11
Massachusetts,3
Colorado,37
Michigan,18
Pennsylvania,9
Connecticut,4
Virginia,14
New Hampshire,21
Maryland,5
Washington,24
Oregon,39
Maine,38
Hawaii,13
Vermont,31
